OBJECTID,name,address,longitude,latitude,type
89,上海翊雍商务咨询有限公司,南京东300号恒基名人中心20楼2001,121.484026,31.237889,公司企业
90,兴业银行(上海黄浦支行),天津路200号1层(南京东路地铁站5号口步行150米),121.483323,31.238076,金融保险服务
91,明牌珠宝(新世界城店),南京西路2-68号新世界城1层,121.473024,31.234981,购物服务
92,NOWWA 挪瓦咖啡 (赛格电子市场店),浙江中路598号上海科技京城G区1层NOWWA咖啡,121.477695,31.239121,餐饮服务
93,7分甜(上海黄浦恒基名人店),南京东路300号恒基名人购物中心B108号铺位,121.483873,31.237628,餐饮服务
94,遇见·陶艺(第一百货店),南京东路800号C馆6楼,121.474817,31.235807,体育休闲服务
95,厦门路-路侧停车位,厦门路与南苏州路交叉口西40米,121.477974,31.240199,交通设施服务
96,黄浦区外滩街道退役军人服务站,河南中路568号(南京东路地铁站6号口步行120米),121.484156,31.240088,政府机构及社会团体
97,天津路448弄,宁波路与顾家弄交叉口南40米,121.478131,31.236851,商务住宅
98,温州路100弄小区,温州路100弄(新闸路地铁站6号口步行60米),121.469823,31.237898,商务住宅
99,d.VII(新世界城店),南京西路2-68号新世界城L3层,121.473321,31.235367,购物服务
100,上海陆柒捌探案馆(港陆黄浦中心店),六合路与牛庄路交叉口东南40米,121.474998,31.236642,餐饮服务
101,中国移动授权店,天津路249号(南京东路地铁站1号口步行240米),121.48157,31.237545,生活服务
102,上海恺朋广告有限公司,西藏中路525号雅居乐国际广场F3,121.472885,31.236116,公司企业
103,宁波路363弄,宁波路363弄1-3号(南京东路地铁站1号口步行410米),121.480417,31.238195,商务住宅
104,宁波路473弄,宁波路473弄1-9号,121.478517,31.237166,商务住宅
105,北京东路800号,北京东路与贵州路交叉口西40米,121.474978,31.238269,商务住宅
106,厦门路115-139号,厦门路115号、厦门路129号、厦门路139号,121.476215,31.239582,地名地址信息
107,江西中路368号-372号,江西中路368号、江西中路372号,121.485971,31.239881,商务住宅
108,山北小区395号,河南中路575弄1-11号,121.482508,31.240014,地名地址信息
109,复星保德信公司,天津路155号1303室(名义室号为1503室)、1306室(名义室号为1506室),121.483921,31.238113,金融保险服务
110,猛犸兄弟东北烤冷面(南京东路店),广西北路495号,121.47636,31.237305,餐饮服务
111,新世界城-新世界城篮球馆(新世界城店),南京西路2新世界城L5层(人民广场地铁站7号口步行60米),121.473665,31.234762,体育休闲服务
112,百空间BAIwork,天津路66号(南京东路地铁站6号口步行100米),121.484901,31.238881,商务住宅
113,上海工业陶瓷机电有限公司,福建中路438号(南京东路地铁站1号口步行470米),121.479745,31.237629,购物服务
114,阿歌列(上海)贸易有限公司,六合路98号港陆黄浦中心,121.474986,31.236626,公司企业
115,新世界天宇攀登(新世界城),南京西路2-68号新世界城L3层(人民广场地铁站7号口旁),121.47372,31.234932,体育休闲服务
116,安科利电气,牛庄路牛庄路641弄,121.477425,31.23769,公司企业
117,重庆鸡公煲,南京东路340号上海华联商厦6楼,121.482349,31.237114,餐饮服务
118,华尔卡中心,北京东路与顾家弄交叉口西北60米,121.477106,31.239026,商务住宅
119,沪酥酥(弘源商务楼店),山东北路14号弘源商务楼F1层,121.482834,31.2391,餐饮服务
120,OAK& BERRY酒吧,宁波路232号-108(南京东路地铁站6号口步行190米),121.482731,31.239101,餐饮服务
121,黄浦区河南消防救援站,五福弄南京路步行街,121.481077,31.237351,政府机构及社会团体
122,6号里美食吧,南京东路772号步行街,121.475741,31.235267,餐饮服务
123,中国福利体育彩票(江西中路店),滇池小区西南门旁(南京东路地铁站6号口步行220米),121.48583,31.240161,生活服务
124,山东北路-路侧停车位,山东北路弘源商务楼(南京东路地铁站6号口步行190米),121.482661,31.239088,交通设施服务
125,trova,香港路117号1层101室,121.48567,31.242472,餐饮服务
126,坤邦机电设备,南苏州路与山东北路交叉口东北60米,121.482517,31.240923,购物服务
127,橘子脱口秀俱乐部,南京东路830号第一百货A馆7楼-8楼,121.474952,31.235037,体育休闲服务
128,DOLA皮肤管理中心(新世界城店),南京西路2新世界城L3层(人民广场地铁站7号口步行60米),121.47379,31.235167,生活服务
129,上海Damon8公寓(4号店),北京东路431弄5号松柏公寓北楼松柏公寓-北楼,121.482156,31.239738,住宿服务
130,小克嘞.乡瓦蚝情(南京路步行街店),天津路286号(南京东路地铁站1号口步行320米),121.480675,31.237403,餐饮服务
131,外滩·融享汇,南苏州路429号(南京东路地铁站6号口步行320米),121.482777,31.241084,商务住宅
132,TP TEA(第一百货商业中心店),南京东路800号第一百货商业中心B1层,121.474454,31.235779,餐饮服务
133,广府手工茶点(新世界城店),南京西路2新世界城L7层(人民广场地铁站7号口步行60米),121.473808,31.234796,餐饮服务
134,衣卫士干洗洗衣洗鞋(黄浦区三店),宁波路与五福弄交叉口西40米,121.480423,31.23843,生活服务
135,Longlati Foundation,香港路117号303,121.48558,31.242337,公司企业
136,中宇联云计算服务(上海)有限公司,六合路58号新一百大厦18D-G,121.475348,31.236036,公司企业
137,上海南康科技有限公司,房地大厦(新闸路地铁站6号口步行340米),121.471428,31.236373,公司企业
138,旺池川萃(新世界城店),南京西路2-68号新世界城8楼C03区,121.473642,31.235137,餐饮服务
139,城市测量师行-上海城策行建筑规划设计咨询有限公司,西藏中路585号新金桥广场F11层,121.473127,31.237116,公司企业
140,华东师范大学开放教育学院宁波路学习中心,天津路158号2楼(南京东路地铁站5号口步行90米),121.483313,31.238348,科教文化服务
141,上海铭赫文化传播有限公司,云南北路59号六合大厦(人民广场地铁站19号口步行430米),121.474878,31.237287,科教文化服务
142,上海承泰铆钉不锈钢标准件,南苏州路与山西南路交叉口东40米,121.481401,31.240174,购物服务
143,陆金华海参馆,宁波路与山东北路交叉口东北40米,121.483035,31.239142,餐饮服务
144,上海艾迪逊酒店大堂,南京东路199号上海艾迪逊酒店,121.485982,31.237746,住宿服务
145,微建设计,香港路117号402室,121.485567,31.242351,公司企业
146,上海煜域管道清洗公司黄浦区工程部,福建中路495号,121.478967,31.238431,公司企业
147,香酥鸡蛋灌饼(广西北路店),广西北路495号,121.476386,31.237305,餐饮服务
148,木蔬森林·轻食沙拉(永亨大楼店),宁波路266号(南京东路地铁站5号口步行290米),121.481972,31.23893,餐饮服务
149,河南路桥,黄浦区,121.483007,31.241929,地名地址信息
150,第一百货商业中心-女洗手间,南京东路800-830号(近西藏中路)第一百货商业中心F2,121.475116,31.23547,公共设施
151,茶百道(星荟中心店),天潼路328号地下二层LG206、LG212、LG213、LG215-1室,121.48392,31.239317,餐饮服务
152,上海匠心玉文化传承中心,西藏中路728号美欣大厦F1层,121.47275,31.23979,科教文化服务
153,七记烧烤(宁波路店),宁波路240号(南京东路地铁站5号口步行250米),121.48242,31.23901,餐饮服务
154,老上海小吃,香港路123号(南京东路地铁站6号口步行500米),121.485204,31.242315,餐饮服务
155,秘酱一碗鸡,牛庄路775号(人民广场地铁站19号口步行420米),121.475347,31.237116,餐饮服务
156,CC.潮汕猪肚鸡汤饭(三和里店),江西中路430号(南京东路地铁站6号口步行340米),121.485359,31.241274,餐饮服务
157,麻辣香锅(新世界大丸百货店),南京东路228号新世界大丸百货B1层,121.483913,31.238056,餐饮服务
158,怪兽不厌食无糖面包甜点(人民广场店),贵州路126号欣辰烟酒商店,121.476083,31.236226,餐饮服务
159,蜀湘缘川菜,福建中路423号(南京东路地铁站1号口步行430米),121.479661,31.237321,餐饮服务
160,阿金大包·本地包子(第一百货商业中心A馆店),南京东路800号第一百货中心B馆B1,121.474703,31.235815,餐饮服务
161,民间粮仓重庆菜(东方商厦南东店),南京东路800号东方商厦F8,121.474782,31.235124,餐饮服务
162,WAGONS光速超跑(人民广场店),北京西路23号-27新金桥广场,121.472868,31.237226,汽车服务
163,牛New寿喜烧(人民广场店),南京东路步行街第一百货商业中心B馆6楼,121.474619,31.236051,餐饮服务
164,恰里健身俱乐部(永新广场店),南京西路128号永新广场F18层,121.472136,31.234093,体育休闲服务
165,月湖萃·海参馆,宁波路222号月湖萃·海参面,121.483032,31.239144,餐饮服务
166,沪华酒行,中博商务北门东北200米(南京东路地铁站1号口步行460米),121.479281,31.236968,购物服务
167,佳音小馆快餐菜饭(三和里店),江西中路430号(南京东路地铁站6号口步行360米),121.485363,31.241284,餐饮服务
168,宣城食品,南京路步行街与贵州路交叉口西60米,121.475957,31.235162,餐饮服务
169,荣耀手机售后维修中心(新世界城店),南京西路2-68号新世界城1F内,121.473768,31.235632,生活服务
170,上海斯良机电有限公司,六合路98号港陆黄浦中心,121.475115,31.236547,公司企业
171,努果咖啡(人民广场店),贵州路179号(人民广场地铁站19号口步行490米),121.475838,31.237063,餐饮服务
172,遇见川芙蓉小酒馆(人广店),贵州路104号(近南京东路),121.476329,31.235969,餐饮服务
173,恒天财富,天津路180号应氏大厦F12层,121.482569,31.238233,金融保险服务
174,中泰信托有限责任公司,北京东路668号科技京城西楼32层,121.477129,31.239029,金融保险服务
175,上海原子能工业有限公司,南苏州路333号华隆大厦F16层,121.484017,31.241899,公司企业
176,迅销企业管理有限公司,南京东路300号恒基名人商厦17楼,121.484034,31.237886,公司企业
177,宝格丽宴会厅,河南北路33号上海总商会2楼,121.48236,31.242669,餐饮服务
178,上海大世界传艺中心,云南北路59号六合大厦F11层,121.474806,31.237166,生活服务
179,海文国际it培训,天津路180号应氏大厦F16层,121.482661,31.238246,科教文化服务
180,第一秒电商公司,西藏中路525号雅居乐国际广场F4层,121.473092,31.236161,购物服务
181,上海广隆置业发展有限公司,北京东路378号景云大楼F6层,121.482851,31.240378,公司企业
182,谙科半导体有限公司,北京东路66号科技京城东楼28层B,121.478441,31.239302,公司企业
183,上海城科信息技术有限公司,西藏中路585号新金桥广场F15层,121.472771,31.236933,公司企业
184,上海外滩璞砚酒店地下停车场(出入口),南苏州路与山东北路交叉口东20米,121.482265,31.240668,交通设施服务
185,上海外滩璞砚酒店地下停车场,南苏州路与山东北路交叉口东40米,121.482286,31.240565,交通设施服务
186,北慕南乔,北京东路398号璞砚酒店18楼,121.482269,31.240438,餐饮服务
187,天津路-道路停车位,天津路与龙泉园路交叉口东40米,121.47902,31.236845,交通设施服务
188,江西中路-道路停车位,江西中路与香港路交叉口南60米,121.485099,31.24172,交通设施服务
189,凤阳路停车场,凤阳路永新广场(人民广场地铁站8号口步行280米),121.471766,31.234265,交通设施服务
190,六合路-道路停车位,六合路泛太平洋国际大厦(人民广场地铁站19号口步行390米),121.474489,31.237215,交通设施服务
191,弄堂到底物业,江西中路372弄(南京东路地铁站6号口步行230米),121.48595,31.240061,公司企业
